Fecha;Vuelos
2019-01-01;128717
2019-01-02;162303
2019-01-03;169310
2019-01-04;173386
2019-01-05;161288
2019-01-06;156172
2019-01-07;163601
2019-01-08;163535
2019-01-09;167080
2019-01-10;172335
2019-01-11;170304
2019-01-12;146139
2019-01-13;143175
2019-01-14;160497
2019-01-15;163077
2019-01-16;167969
2019-01-17;171412
2019-01-18;171368
2019-01-19;146099
2019-01-20;144117
2019-01-21;165504
2019-01-22;165434
2019-01-23;164357
2019-01-24;170732
2019-01-25;182063
2019-01-26;158290
2019-01-27;150084
2019-01-28;162823
2019-01-29;167473
2019-01-30;169560
2019-01-31;172592
2019-02-01;173657
2019-02-02;147095
2019-02-03;143755
2019-02-04;157962
2019-02-05;162766
2019-02-06;169279
2019-02-07;170945
2019-02-08;175057
2019-02-09;150962
2019-02-10;145408
2019-02-11;159347
2019-02-12;162972
2019-02-13;171927
2019-02-14;181564
2019-02-15;183720
2019-02-16;162656
2019-02-17;158729
2019-02-18;175300
2019-02-19;173623
2019-02-20;165324
2019-02-21;175378
2019-02-22;179037
2019-02-23;161243
2019-02-24;161890
2019-02-25;175345
2019-02-26;181297
2019-02-27;181830
2019-02-28;179643
2019-03-01;180143
2019-03-02;153198
2019-03-03;149440
2019-03-04;165254
2019-03-05;176597
2019-03-06;179705
2019-03-07;182154
2019-03-08;181259
2019-03-09;155062
2019-03-10;154993
2019-03-11;176098
2019-03-12;175953
2019-03-13;172773
2019-03-14;178389
2019-03-15;183851
2019-03-16;168129
2019-03-17;171119
2019-03-18;183665
2019-03-19;188122
2019-03-20;190106
2019-03-21;189411
2019-03-22;192722
2019-03-23;175774
2019-03-24;179298
2019-03-25;169056
2019-03-26;178914
2019-03-27;190132
2019-03-28;192223
2019-03-29;193782
2019-03-30;176158
2019-03-31;177247
2019-04-01;185743
2019-04-02;184577
2019-04-03;188460
2019-04-04;187792
2019-04-05;182959
2019-04-06;167645
2019-04-07;172498
2019-04-08;179078
2019-04-09;183011
2019-04-10;178895
2019-04-11;155934
2019-04-12;193655
2019-04-13;173790
2019-04-14;163813
2019-04-15;185611
2019-04-16;196594
2019-04-17;203239
2019-04-18;200906
2019-04-19;187339
2019-04-20;178923
2019-04-21;172458
2019-04-22;197510
2019-04-23;194611
2019-04-24;196977
2019-04-25;202680
2019-04-26;190950
2019-04-27;170235
2019-04-28;176610
2019-04-29;188526
2019-04-30;188591
2019-05-01;197625
2019-05-02;190952
2019-05-03;190758
2019-05-04;171350
2019-05-05;179229
2019-05-06;194287
2019-05-07;196322
2019-05-08;188353
2019-05-09;186535
2019-05-10;193129
2019-05-11;174326
2019-05-12;170796
2019-05-13;188640
2019-05-14;198047
2019-05-15;205992
2019-05-16;202754
2019-05-17;199481
2019-05-18;185452
2019-05-19;171644
2019-05-20;181320
2019-05-21;188400
2019-05-22;203930
2019-05-23;208911
2019-05-24;210529
2019-05-25;188596
2019-05-26;171557
2019-05-27;186249
2019-05-28;188669
2019-05-29;199763
2019-05-30;208540
2019-05-31;217824
2019-06-01;203404
2019-06-02;195567
2019-06-03;199616
2019-06-04;205183
2019-06-05;201015
2019-06-06;204126
2019-06-07;206793
2019-06-08;191510
2019-06-09;191141
2019-06-10;192994
2019-06-11;206323
2019-06-12;209091
2019-06-13;211327
2019-06-14;217326
2019-06-15;191436
2019-06-16;186376
2019-06-17;204478
2019-06-18;207100
2019-06-19;209974
2019-06-20;209020
2019-06-21;220066
2019-06-22;201351
2019-06-23;200988
2019-06-24;205474
2019-06-25;211053
2019-06-26;217669
2019-06-27;221756
2019-06-28;224508
2019-06-29;203062
2019-06-30;191917
2019-07-01;204761
2019-07-02;210281
2019-07-03;215963
2019-07-04;194521
2019-07-05;197610
2019-07-06;189617
2019-07-07;198175
2019-07-08;208985
2019-07-09;216151
2019-07-10;221243
2019-07-11;215438
2019-07-12;217564
2019-07-13;202640
2019-07-14;198425
2019-07-15;210892
2019-07-16;219299
2019-07-17;219971
2019-07-18;221813
2019-07-19;223188
2019-07-20;201011
2019-07-21;202085
2019-07-22;207657
2019-07-23;214631
2019-07-24;225296
2019-07-25;230409
2019-07-26;226565
2019-07-27;198060
2019-07-28;196075
2019-07-29;209879
2019-07-30;213381
2019-07-31;216215
2019-08-01;224610
2019-08-02;218980
2019-08-03;202783
2019-08-04;206320
2019-08-05;208326
2019-08-06;207988
2019-08-07;206926
2019-08-08;219565
2019-08-09;215485
2019-08-10;190876
2019-08-11;191657
2019-08-12;201431
2019-08-13;207213
2019-08-14;215384
2019-08-15;215063
2019-08-16;217199
2019-08-17;192203
2019-08-18;190958
2019-08-19;204621
2019-08-20;215041
2019-08-21;218435
2019-08-22;224385
2019-08-23;223653
2019-08-24;213638
2019-08-25;205374
2019-08-26;204770
2019-08-27;208114
2019-08-28;214472
2019-08-29;224682
2019-08-30;225912
2019-08-31;209889
2019-09-01;187549
2019-09-02;198599
2019-09-03;196660
2019-09-04;208740
2019-09-05;220017
2019-09-06;217665
2019-09-07;200089
2019-09-08;197495
2019-09-09;202320
2019-09-10;205346
2019-09-11;208070
2019-09-12;213798
2019-09-13;215129
2019-09-14;201472
2019-09-15;197282
2019-09-16;200261
2019-09-17;208324
2019-09-18;213812
2019-09-19;217215
2019-09-20;217235
2019-09-21;200873
2019-09-22;189962
2019-09-23;195146
2019-09-24;201408
2019-09-25;206689
2019-09-26;208904
2019-09-27;210361
2019-09-28;181604
2019-09-29;180420
2019-09-30;194024
2019-10-01;195208
2019-10-02;201794
2019-10-03;206625
2019-10-04;204330
2019-10-05;188181
2019-10-06;179729
2019-10-07;192075
2019-10-08;198105
2019-10-09;198359
2019-10-10;202796
2019-10-11;201701
2019-10-12;186101
2019-10-13;187760
2019-10-14;197233
2019-10-15;197609
2019-10-16;194587
2019-10-17;205438
2019-10-18;207353
2019-10-19;181528
2019-10-20;178744
2019-10-21;186771
2019-10-22;193761
2019-10-23;206282
2019-10-24;207139
2019-10-25;202007
2019-10-26;180419
2019-10-27;174852
2019-10-28;191158
2019-10-29;186201
2019-10-30;184409
2019-10-31;186754
2019-11-01;191678
2019-11-02;176349
2019-11-03;174357
2019-11-04;190227
2019-11-05;191909
2019-11-06;197451
2019-11-07;192468
2019-11-08;198028
2019-11-09;175403
2019-11-10;178772
2019-11-11;179274
2019-11-12;181631
2019-11-13;194213
2019-11-14;198711
2019-11-15;197023
2019-11-16;174736
2019-11-17;170225
2019-11-18;185691
2019-11-19;191126
2019-11-20;189792
2019-11-21;193031
2019-11-22;194594
2019-11-23;177433
2019-11-24;173066
2019-11-25;187646
2019-11-26;190126
2019-11-27;179689
2019-11-28;153284
2019-11-29;165164
2019-11-30;167407
2019-12-01;166264
2019-12-02;181253
