PROD_EST,ANIO,MES,TIPO,TIPO_DE_TRANSPORTE,CATEGORIA,VARIABLE,VALOR,UNIDAD_DE_MEDIDA,ESTATUS
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Aéreo,Turistas de internación,Gasto total,1358750907,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Terrestre,Turistas de internación,Gasto total,105686094,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,35649178,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1423725,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Terrestre,Turistas de internación,Número de visitantes,271940,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,529360,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Egresos,Aéreo,Turistas de internación,Gasto total,608947258,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Egresos,Terrestre,Turistas de internación,Gasto total,114936057,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Egresos,Aéreo,Turistas de internación,Número de visitantes,561954,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Agosto,Egresos,Terrestre,Turistas de internación,Número de visitantes,479859,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Aéreo,Turistas de internación,Gasto total,1080454557,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Terrestre,Turistas de internación,Gasto total,80236790,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,31082664,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1071280,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,217667,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,471095,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Egresos,Aéreo,Turistas de internación,Gasto total,503352021,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Egresos,Terrestre,Turistas de internación,Gasto total,91981934,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Egresos,Aéreo,Turistas de internación,Número de visitantes,465511,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Septiembre,Egresos,Terrestre,Turistas de internación,Número de visitantes,438191,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Aéreo,Turistas de internación,Gasto total,1261147916,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Terrestre,Turistas de internación,Gasto total,74118437,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,43106028,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1322721,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,242160,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,644200,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Egresos,Aéreo,Turistas de internación,Gasto total,470875998,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Egresos,Terrestre,Turistas de internación,Gasto total,151087241,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Egresos,Aéreo,Turistas de internación,Número de visitantes,491942,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Octubre,Egresos,Terrestre,Turistas de internación,Número de visitantes,618100,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Ingresos,Aéreo,Turistas de internación,Gasto total,1434120416,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Ingresos,Terrestre,Turistas de internación,Gasto total,97836133,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,49440171,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1564005,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,368633,Número de entradas,Cifras revisadas
